◇ injected env (3) from .env.local // tip: ◈ secrets for agents [www.dotenvx.com]
Bây giờ là: 6/14/2026, 8:17:45 AM
Có 99 trận pending/live.
- Brazil vs Marocco | Kickoff: 6/14/2026, 5:00:00 AM | Status: pending | Đã trôi qua: 198 phút
  => TRẬN NÀY ĐÃ ĐÁ XONG (hoặc qua 110 phút) MÀ CHƯA UPDATE! Cần crawl!
- Haiti vs Scotland | Kickoff: 6/14/2026, 8:00:00 AM | Status: pending | Đã trôi qua: 18 phút
- Úc vs Thổ Nhĩ Kỳ | Kickoff: 6/14/2026, 11:00:00 AM | Status: pending | Đã trôi qua: -162 phút
- Đức vs Curacao | Kickoff: 6/15/2026, 12:00:00 AM | Status: pending | Đã trôi qua: -942 phút
- Hà Lan vs Nhật Bản | Kickoff: 6/15/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -1122 phút
- Bờ Biển Ngà vs Ecuador | Kickoff: 6/15/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -1302 phút
- Thụy Điển vs Tunisia | Kickoff: 6/15/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -1482 phút
- Tây Ban Nha vs Cape Verde | Kickoff: 6/15/2026, 11:00:00 PM | Status: pending | Đã trôi qua: -2322 phút
- Bỉ vs Ai Cập | Kickoff: 6/16/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -2502 phút
- Saudi Arabia vs Uruguay | Kickoff: 6/16/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -2682 phút
- Iran vs New Zealand | Kickoff: 6/16/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -2862 phút
- Pháp vs Senegal | Kickoff: 6/17/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -3942 phút
- Iraq vs Na Uy | Kickoff: 6/17/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -4122 phút
- Argentina vs Algeria | Kickoff: 6/17/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -4302 phút
- Áo vs Jordan | Kickoff: 6/17/2026, 11:00:00 AM | Status: pending | Đã trôi qua: -4482 phút
- Bồ Đào Nha vs CHDC Congo | Kickoff: 6/18/2026, 12:00:00 AM | Status: pending | Đã trôi qua: -5262 phút
- Anh vs Croatia | Kickoff: 6/18/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -5442 phút
- Ghana vs Panama | Kickoff: 6/18/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -5622 phút
- Uzbekistan vs Colombia | Kickoff: 6/18/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -5802 phút
- CH Séc vs Nam Phi | Kickoff: 6/18/2026, 11:00:00 PM | Status: pending | Đã trôi qua: -6642 phút
- Thụy Sĩ vs Bosnia | Kickoff: 6/19/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -6822 phút
- Canada vs Qatar | Kickoff: 6/19/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -7002 phút
- Mexico vs Hàn Quốc | Kickoff: 6/19/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -7182 phút
- Mỹ vs Úc | Kickoff: 6/20/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -8262 phút
- Scotland vs Marocco | Kickoff: 6/20/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -8442 phút
- Brazil vs Haiti | Kickoff: 6/20/2026, 7:30:00 AM | Status: pending | Đã trôi qua: -8592 phút
- Thổ Nhĩ Kỳ vs Paraguay | Kickoff: 6/20/2026, 10:00:00 AM | Status: pending | Đã trôi qua: -8742 phút
- Hà Lan vs Thụy Điển | Kickoff: 6/21/2026, 12:00:00 AM | Status: pending | Đã trôi qua: -9582 phút
- Đức vs Bờ Biển Ngà | Kickoff: 6/21/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -9762 phút
- Ecuador vs Curacao | Kickoff: 6/21/2026, 7:00:00 AM | Status: pending | Đã trôi qua: -10002 phút
- Tunisia vs Nhật Bản | Kickoff: 6/21/2026, 11:00:00 AM | Status: pending | Đã trôi qua: -10242 phút
- Tây Ban Nha vs Saudi Arabia | Kickoff: 6/21/2026, 11:00:00 PM | Status: pending | Đã trôi qua: -10962 phút
- Bỉ vs Iran | Kickoff: 6/22/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -11142 phút
- Uruguay vs Cape Verde | Kickoff: 6/22/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -11322 phút
- New Zealand vs Ai Cập | Kickoff: 6/22/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -11502 phút
- Argentina vs Áo | Kickoff: 6/23/2026, 12:00:00 AM | Status: pending | Đã trôi qua: -12462 phút
- Pháp vs Iraq | Kickoff: 6/23/2026, 4:00:00 AM | Status: pending | Đã trôi qua: -12702 phút
- Na Uy vs Senegal | Kickoff: 6/23/2026, 7:00:00 AM | Status: pending | Đã trôi qua: -12882 phút
- Jordan vs Algeria | Kickoff: 6/23/2026, 10:00:00 AM | Status: pending | Đã trôi qua: -13062 phút
- Bồ Đào Nha vs Uzbekistan | Kickoff: 6/24/2026, 12:00:00 AM | Status: pending | Đã trôi qua: -13902 phút
- Anh vs Ghana | Kickoff: 6/24/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -14082 phút
- Panama vs Croatia | Kickoff: 6/24/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -14262 phút
- Colombia vs CHDC Congo | Kickoff: 6/24/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -14442 phút
- Bosnia vs Qatar | Kickoff: 6/25/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -15462 phút
- Thụy Sĩ vs Canada | Kickoff: 6/25/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -15462 phút
- Marocco vs Haiti | Kickoff: 6/25/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -15642 phút
- Scotland vs Brazil | Kickoff: 6/25/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -15642 phút
- CH Séc vs Mexico | Kickoff: 6/25/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -15822 phút
- Nam Phi vs Hàn Quốc | Kickoff: 6/25/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -15822 phút
- Curacao vs Bờ Biển Ngà | Kickoff: 6/26/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -16962 phút
- Ecuador vs Đức | Kickoff: 6/26/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -16962 phút
- Nhật Bản vs Thụy Điển | Kickoff: 6/26/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -17142 phút
- Tunisia vs Hà Lan | Kickoff: 6/26/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -17142 phút
- Thổ Nhĩ Kỳ vs Mỹ | Kickoff: 6/26/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -17322 phút
- Paraguay vs Úc | Kickoff: 6/26/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -17322 phút
- Senegal vs Iraq | Kickoff: 6/27/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -18342 phút
- Na Uy vs Pháp | Kickoff: 6/27/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -18342 phút
- Cape Verde vs Saudi Arabia | Kickoff: 6/27/2026, 7:00:00 AM | Status: pending | Đã trôi qua: -18642 phút
- Uruguay vs Tây Ban Nha | Kickoff: 6/27/2026, 7:00:00 AM | Status: pending | Đã trôi qua: -18642 phút
- New Zealand vs Bỉ | Kickoff: 6/27/2026, 10:00:00 AM | Status: pending | Đã trôi qua: -18822 phút
- Ai Cập vs Iran | Kickoff: 6/27/2026, 10:00:00 AM | Status: pending | Đã trôi qua: -18822 phút
