◇ injected env (3) from .env.local // tip: ⌘ override existing { override: true }
Bây giờ là: 6/14/2026, 8:14:20 AM
Có 99 trận pending/live.
- Brazil vs Marocco | Kickoff: 6/14/2026, 5:00:00 AM | Status: pending | Đã trôi qua: 194 phút
  => TRẬN NÀY ĐÃ ĐÁ XONG (hoặc qua 110 phút) MÀ CHƯA UPDATE! Cần crawl!
- Haiti vs Scotland | Kickoff: 6/14/2026, 8:00:00 AM | Status: pending | Đã trôi qua: 14 phút
- Úc vs Thổ Nhĩ Kỳ | Kickoff: 6/14/2026, 11:00:00 AM | Status: pending | Đã trôi qua: -166 phút
- Đức vs Curacao | Kickoff: 6/15/2026, 12:00:00 AM | Status: pending | Đã trôi qua: -946 phút
- Hà Lan vs Nhật Bản | Kickoff: 6/15/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -1126 phút
- Bờ Biển Ngà vs Ecuador | Kickoff: 6/15/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -1306 phút
- Thụy Điển vs Tunisia | Kickoff: 6/15/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -1486 phút
- Tây Ban Nha vs Cape Verde | Kickoff: 6/15/2026, 11:00:00 PM | Status: pending | Đã trôi qua: -2326 phút
- Bỉ vs Ai Cập | Kickoff: 6/16/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -2506 phút
- Saudi Arabia vs Uruguay | Kickoff: 6/16/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -2686 phút
- Iran vs New Zealand | Kickoff: 6/16/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -2866 phút
- Pháp vs Senegal | Kickoff: 6/17/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -3946 phút
- Iraq vs Na Uy | Kickoff: 6/17/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -4126 phút
- Argentina vs Algeria | Kickoff: 6/17/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -4306 phút
- Áo vs Jordan | Kickoff: 6/17/2026, 11:00:00 AM | Status: pending | Đã trôi qua: -4486 phút
- Bồ Đào Nha vs CHDC Congo | Kickoff: 6/18/2026, 12:00:00 AM | Status: pending | Đã trôi qua: -5266 phút
- Anh vs Croatia | Kickoff: 6/18/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -5446 phút
- Ghana vs Panama | Kickoff: 6/18/2026, 6:00:00 AM | Status: pending | Đã trôi qua: -5626 phút
- Uzbekistan vs Colombia | Kickoff: 6/18/2026, 9:00:00 AM | Status: pending | Đã trôi qua: -5806 phút
- CH Séc vs Nam Phi | Kickoff: 6/18/2026, 11:00:00 PM | Status: pending | Đã trôi qua: -6646 phút
- Thụy Sĩ vs Bosnia | Kickoff: 6/19/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -6826 phút
- Canada vs Qatar | Kickoff: 6/19/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -7006 phút
- Mexico vs Hàn Quốc | Kickoff: 6/19/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -7186 phút
- Mỹ vs Úc | Kickoff: 6/20/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -8266 phút
- Scotland vs Marocco | Kickoff: 6/20/2026, 5:00:00 AM | Status: pending | Đã trôi qua: -8446 phút
- Brazil vs Haiti | Kickoff: 6/20/2026, 7:30:00 AM | Status: pending | Đã trôi qua: -8596 phút
- Thổ Nhĩ Kỳ vs Paraguay | Kickoff: 6/20/2026, 10:00:00 AM | Status: pending | Đã trôi qua: -8746 phút
